time,ax,ay,az,aT
1.5660,0.9008,0.4216,-0.0259,0.995
1.5670,0.9008,0.4216,-0.0259,0.995
1.5810,1.0866,0.4918,-0.1885,1.207
1.5820,1.0866,0.4918,-0.1885,1.207
1.5820,1.0866,0.4918,-0.1885,1.207
1.5830,1.0866,0.4918,-0.1885,1.207
1.6030,1.3636,0.6089,-0.3288,1.529
1.6040,1.3636,0.6089,-0.3288,1.529
1.6040,1.3636,0.6089,-0.3288,1.529
1.6050,1.3636,0.6089,-0.3288,1.529
1.6210,1.5687,0.7083,-0.2305,1.737
1.6210,1.5687,0.7083,-0.2305,1.737
1.6220,1.5687,0.7083,-0.2305,1.737
1.6300,1.6336,0.7693,-0.2196,1.819
1.6310,1.6932,0.8040,-0.2133,1.887
1.6510,1.8379,0.8497,-0.2471,2.040
1.6520,1.8761,0.8692,-0.2673,2.085
1.6520,1.8761,0.8692,-0.2673,2.085
1.6530,1.8761,0.8692,-0.2673,2.085
1.6630,1.9125,0.8834,-0.2759,2.125
1.6640,1.9128,0.8846,-0.2806,2.126
1.6830,2.0075,0.9175,-0.4527,2.253
1.6840,2.0254,0.9014,-0.4685,2.266
1.6840,2.0254,0.9014,-0.4685,2.266
1.6840,2.0254,0.9014,-0.4685,2.266
1.6960,2.0548,0.8431,-0.4578,2.268
1.6960,2.0548,0.8431,-0.4578,2.268
1.6970,2.0548,0.8431,-0.4578,2.268
1.7140,1.9007,0.6660,-0.2773,2.033
1.7140,1.9007,0.6660,-0.2773,2.033
1.7140,1.9007,0.6660,-0.2773,2.033
1.7290,1.6408,0.4508,-0.2890,1.726
1.7290,1.6408,0.4508,-0.2890,1.726
1.7300,1.6408,0.4508,-0.2890,1.726
1.7480,1.4382,0.2315,-0.4856,1.536
1.7490,1.4382,0.2315,-0.4856,1.536
1.7490,1.4382,0.2315,-0.4856,1.536
1.7650,1.4711,0.2379,-0.5999,1.606
1.7660,1.5044,0.2646,-0.6308,1.653
1.7660,1.5044,0.2646,-0.6308,1.653
1.7660,1.5044,0.2646,-0.6308,1.653
1.7810,1.5972,0.3457,-0.6732,1.767
1.7820,1.5972,0.3457,-0.6732,1.767
1.7820,1.5972,0.3457,-0.6732,1.767
1.8020,1.7539,0.4655,-0.6522,1.928
1.8020,1.7539,0.4655,-0.6522,1.928
1.8030,1.7539,0.4655,-0.6522,1.928
1.8190,1.6447,0.4777,-0.6388,1.828
1.8200,1.6447,0.4777,-0.6388,1.828
1.8200,1.6447,0.4777,-0.6388,1.828
1.8200,1.6447,0.4777,-0.6388,1.828
