time,ax,ay,az,aT
2.6590,-13.0352,-2.6956,-0.3496,13.316
2.6750,-12.3107,-2.8875,0.4050,12.651
2.6760,-11.3494,-3.0187,1.4337,11.831
2.6950,-8.5257,-3.7601,4.9573,10.555
2.6960,-7.6809,-3.9547,4.9364,9.950
2.7150,-5.5232,-5.9363,-2.3458,8.441
2.7160,-5.5232,-5.9363,-2.3458,8.441
2.7250,-3.3064,-6.8829,-12.1361,14.338
2.7420,-2.4989,-8.3530,2.1226,8.973
2.7590,4.5897,-9.6961,4.4726,11.623
2.7590,4.5897,-9.6961,4.4726,11.623
2.7750,10.1967,-6.6161,-2.1883,12.350
2.7950,11.2683,-7.0580,-1.3306,13.363
2.7960,13.2404,-6.1182,0.0332,14.586
2.8110,16.5372,-4.6273,5.9365,18.170
2.8120,17.2849,-4.6972,5.8195,18.833
2.8260,12.8009,-6.4962,2.1908,14.521
2.8430,8.1438,-3.9840,-0.7144,9.094
2.8430,8.1438,-3.9840,-0.7144,9.094
2.8590,6.4921,1.3554,-2.8182,7.206
2.8770,6.5330,3.1897,-1.8976,7.514
2.8790,5.3433,3.3728,-1.9253,6.606
2.8950,1.2073,3.0383,-1.6078,3.643
2.9090,-1.8658,2.6988,0.3981,3.305
2.9100,-1.8658,2.6988,0.3981,3.305
2.9240,-4.0471,2.6722,2.6420,5.523
2.9440,-5.7137,4.6548,6.6943,9.956
2.9440,-5.7137,4.6548,6.6943,9.956
2.9600,-7.4829,4.6436,6.7258,11.081
2.9770,-8.1245,5.8218,6.6289,11.993
2.9780,-8.1245,5.8218,6.6289,11.993
2.9960,-7.9056,7.3918,4.7233,11.809
2.9970,-7.9056,7.3918,4.7233,11.809
3.0090,-7.5703,7.6895,2.9182,11.178
3.0250,-6.1338,8.7865,-1.2164,10.784
3.0430,-7.5122,4.1576,-20.3296,22.068
3.0440,-7.5122,4.1576,-20.3296,22.068
3.0590,-6.3258,1.6030,-4.8211,8.114
3.0600,-6.3258,1.6030,-4.8211,8.114
3.0770,-3.6022,-3.9439,4.6324,7.070
3.0970,1.4035,-8.8390,8.6186,12.425
3.0980,1.4035,-8.8390,8.6186,12.425
3.1120,3.8189,-10.3702,8.0308,13.661
3.1130,3.8189,-10.3702,8.0308,13.661
3.1260,3.3518,-8.8654,6.4273,11.452
3.1430,1.4939,-5.5861,1.3589,5.940
3.1620,0.9095,-4.3680,-1.1141,4.599
3.1630,0.9095,-4.3680,-1.1141,4.599
3.1740,1.3565,-5.3881,-1.4206,5.735
3.1930,1.3500,-6.6034,0.9823,6.811
3.1930,1.3500,-6.6034,0.9823,6.811
3.2070,1.2084,-6.3632,3.4795,7.352
3.2070,1.2084,-6.3632,3.4795,7.352
3.2260,2.7518,-2.4458,2.8253,4.641
3.2430,8.9878,5.7524,-6.5151,12.503
3.2440,8.9370,5.8237,-5.4866,11.995
3.2610,7.1273,4.8176,-2.2955,8.904
3.2610,6.6554,4.4147,-3.1202,8.574
3.2760,6.1764,2.9625,-8.1886,10.676
3.2940,5.7496,2.1998,-6.1429,8.697
3.2950,5.7496,2.1998,-6.1429,8.697
3.3150,4.6397,1.6583,-5.5379,7.413
3.3160,4.2698,1.8458,-5.5392,7.233
3.3240,3.4004,2.1862,-6.4462,7.609
3.3420,2.7975,2.5065,-8.4575,9.254
3.3430,2.7975,2.5065,-8.4575,9.254
3.3590,4.6761,4.0503,-3.7835,7.252
3.3760,4.2291,5.8386,0.2275,7.213
3.3770,4.2291,5.8386,0.2275,7.213
3.3930,2.1731,7.6295,0.1350,7.934
3.4130,-0.0409,7.1767,0.8132,7.223
3.4140,-0.0409,7.1767,0.8132,7.223
3.4410,-1.4551,5.1881,-4.7876,7.208
3.4410,-1.4551,5.1881,-4.7876,7.208
3.4420,-1.4551,5.1881,-4.7876,7.208
3.4580,-1.1578,0.5646,-7.7838,7.890
3.4760,0.4634,-9.1904,-4.8393,10.397
3.4760,0.4634,-9.1904,-4.8393,10.397
3.4920,0.2240,-20.3271,5.9746,21.188
3.5080,4.9229,-31.0482,3.8788,31.674
3.5080,4.9229,-31.0482,3.8788,31.674
3.5240,11.7538,-35.9812,-9.4769,39.021
3.5250,11.7538,-35.9812,-9.4769,39.021
3.5410,11.0319,-25.3263,-2.7964,27.766
3.5570,-1.4759,-6.3240,2.9646,7.139
3.5570,-1.4759,-6.3240,2.9646,7.139
3.5770,-4.0722,1.2401,6.2560,7.567
3.5780,-4.0722,1.2401,6.2560,7.567
3.5950,-3.6532,4.3152,6.3246,8.483
3.6090,-4.4025,5.4395,5.1025,8.661
3.6090,-4.9822,5.6062,4.5205,8.757
3.6240,-7.2004,6.2945,3.6923,10.252
3.6400,-9.1958,7.8369,6.1238,13.546
3.6410,-9.1958,7.8369,6.1238,13.546
3.6570,-8.0970,9.9174,10.3679,16.475
3.6740,-7.4782,11.0963,11.5542,17.679
3.6740,-7.4782,11.0963,11.5542,17.679
3.6910,-5.7939,13.9590,3.8818,15.604
3.6910,-5.7939,13.9590,3.8818,15.604
3.7100,1.5766,20.4764,-19.3990,28.251
3.7100,3.7594,20.2722,-15.3079,25.679
3.7250,10.9249,13.0319,-6.9796,18.382
3.7430,9.6309,3.6428,7.9114,12.985
3.7590,-0.3303,2.6254,2.4861,3.631
3.7590,-0.3303,2.6254,2.4861,3.631
3.7740,-6.4750,-3.4623,-9.3017,11.851
3.7740,-6.4750,-3.4623,-9.3017,11.851
3.7920,-7.2810,-3.6965,2.5623,8.558
3.8090,-6.4268,-11.1425,5.4588,13.973
3.8100,-6.1197,-13.1191,5.8856,15.627
3.8240,-5.6071,-15.3462,6.6296,17.632
3.8420,-7.1119,-14.1657,3.7700,16.293
3.8420,-7.1119,-14.1657,3.7700,16.293
3.8570,-8.7629,-10.2433,0.7181,13.499
3.8580,-8.7629,-10.2433,0.7181,13.499
3.8740,-4.9833,-4.4175,-0.8336,6.711
3.8920,0.1558,-7.0014,-1.5695,7.177
